,time,F8,F4,F3,F7
0,0,0.12858684374999999,0.127199805,0.135617313,0.098816133
1,0.004,0.12858667968749998,0.127199469,0.135617141,0.098813891
2,0.008,0.12858710937499998,0.127200039,0.13561804687499998,0.098812008
3,0.012,0.128587484,0.127200375,0.135618625,0.098812383
4,0.016,0.128587617,0.127200172,0.135618828,0.098812578
5,0.02,0.128587148,0.127199742,0.135618125,0.098812984
6,0.024,0.128586578,0.127199102,0.13561734374999998,0.098812383
7,0.028,0.128586641,0.127199203,0.135617688,0.098811102
8,0.032,0.128587148,0.127199336,0.13561825,0.098808594
9,0.036,0.128587617,0.127199305,0.135618328,0.09880718
10,0.04,0.128587445,0.127198797,0.135617656,0.098806844
11,0.044,0.128587047,0.12719803124999998,0.135617219,0.098806844
12,0.048,0.128587414,0.12719819531249998,0.135617813,0.098806141
13,0.052,0.128587852,0.1271985,0.13561815624999998,0.098804336
14,0.056,0.128587914,0.127198766,0.13561815624999998,0.0988045
15,0.06,0.12858681249999998,0.127197859,0.135616984,0.098806711
16,0.064,0.12858573437499998,0.127197094,0.135616313,0.098806984
17,0.068,0.128586508,0.127197695,0.13561704687499998,0.098804063
18,0.072,0.128586945,0.12719819531249998,0.135617547,0.098803961
19,0.076,0.12858697656249998,0.127198664,0.135617891,0.098804633
20,0.08,0.12858667968749998,0.127198664,0.135617656,0.098804063
21,0.084,0.128586406,0.127198531,0.13561704687499998,0.098802891
22,0.088,0.128586477,0.127198836,0.135617313,0.098802961
23,0.092,0.128587078,0.127199703,0.13561804687499998,0.098802961
24,0.096,0.12858697656249998,0.127199938,0.135618016,0.098803461
25,0.1,0.128585836,0.12719903124999998,0.135617141,0.098805336
26,0.104,0.1285855,0.127198766,0.135616719,0.098803359
27,0.108,0.128586039,0.12719943749999998,0.13561748437499999,0.098803391
28,0.112,0.12858607,0.127199773,0.135617719,0.098804531
29,0.116,0.128585875,0.127199641,0.135617656,0.098804398
30,0.12,0.128585469,0.12719927343749998,0.13561745312499998,0.098803328
31,0.124,0.128584797,0.127198797,0.135617281,0.098802422
32,0.128,0.128585102,0.127199367,0.135617719,0.098802016
33,0.132,0.1285855,0.127199742,0.13561845312499998,0.098803359
34,0.136,0.128585805,0.127200172,0.135618828,0.09880343
35,0.14,0.128584867,0.127199641,0.135617891,0.098804094
