,time,F8,F4,F3,F7
0,0,0.075928844,0.098369914,0.073587813,0.11911150781249999
1,0.004,0.075932703,0.09837132,0.0735625,0.11911157
2,0.008,0.075942492,0.09837843,0.073555258,0.119122063
3,0.012,0.075917547,0.098361398,0.073563805,0.119100375
4,0.016,0.075902188,0.098349023,0.073581141,0.119086227
5,0.02,0.07593143,0.098371188,0.073584094,0.119114055
6,0.024,0.075930859,0.098373969,0.073560352,0.119115594
7,0.028,0.075938,0.098382352,0.073555359,0.11913004687499999
8,0.032,0.075916875,0.098364313,0.073561625,0.11910778124999999
9,0.036,0.075904906,0.098348789,0.073576414,0.11909001562499999
10,0.04,0.075934477,0.098370953,0.073579227,0.11911643
11,0.044,0.075937664,0.098373805,0.073552578,0.11911603124999999
12,0.048,0.075946344,0.098380875,0.073543555,0.119126891
13,0.052,0.075923242,0.098364117,0.073551867,0.11910520312499999
14,0.056,0.075909195,0.098351039,0.073568336,0.119090984
15,0.06,0.075939305,0.098373,0.073572258,0.119119617
16,0.064,0.075941648,0.098373969,0.07354825,0.119121195
17,0.068,0.075948625,0.098380375,0.073542414,0.119133766
18,0.072,0.075925594,0.098364016,0.073552578,0.119112039
19,0.076,0.075911781,0.098350633,0.073570648,0.11909698437499999
20,0.08,0.075939773,0.098372898,0.073574734,0.11912471093749999
21,0.084,0.075941148,0.098374977,0.073549727,0.119122906
22,0.088,0.075949797,0.098381953,0.073542781,0.119132094
23,0.092,0.075926563,0.098364078,0.073552438,0.119112141
24,0.096,0.075911172,0.098349867,0.073569375,0.119099672
25,0.1,0.075940547,0.098370922,0.073571086,0.119127328
26,0.104,0.075942828,0.098372461,0.073543828,0.11912706249999999
27,0.108,0.0759505,0.098379938,0.07353457,0.119136516
28,0.112,0.075925391,0.098362539,0.073543828,0.11911686718749999
29,0.116,0.075911406,0.098349164,0.073562297,0.119102617
30,0.12,0.07593957,0.098370891,0.073566023,0.119130414
31,0.124,0.07594068,0.098372297,0.073540938,0.119129109
32,0.128,0.075948859,0.098379938,0.073532563,0.11913815624999999
33,0.132,0.075924891,0.098363273,0.073541109,0.11911693749999999
34,0.136,0.075910539,0.09835007,0.073559047,0.11910275
35,0.14,0.075939641,0.098372227,0.073561898,0.119129875
36,0.144,0.075940414,0.098373633,0.073537016,0.11913101562499999
37,0.148,0.075948961,0.098380578,0.073530516,0.119142617
38,0.152,0.075925797,0.098363578,0.07353943,0.119120625
39,0.156,0.075910844,0.098349695,0.073557773,0.11910449999999999
40,0.16,0.075939406,0.098371219,0.073562297,0.11913081249999999
41,0.164,0.075941516,0.098373336,0.073537148,0.119129172
42,0.168,0.075950539,0.09838007,0.073530852,0.119140977
43,0.172,0.07592757,0.098363242,0.073539164,0.119121492
44,0.176,0.075915102,0.098350703,0.073556602,0.11910714843749999
45,0.18,0.075942789,0.098373266,0.073560625,0.11913474218749999
46,0.184,0.075943328,0.098374273,0.073534805,0.119130281
47,0.188,0.075950906,0.098380039,0.073526961,0.119137422
48,0.192,0.075926766,0.09836257,0.073536211,0.119114391
49,0.196,0.07591275,0.098348992,0.07355368,0.119097891
50,0.2,0.075941453,0.098371125,0.073557133,0.119123508
51,0.204,0.075943023,0.098373102,0.073533266,0.119120727
52,0.208,0.075952047,0.098380109,0.073526828,0.11913101562499999
53,0.212,0.075928172,0.098362773,0.073535273,0.11911130468749999
54,0.216,0.075914492,0.098349563,0.073551805,0.11909926562499999
55,0.22,0.075943227,0.098371219,0.073556328,0.119128133
56,0.224,0.075943766,0.098372297,0.073532289,0.11912823437499999
57,0.228,0.075952047,0.098379539,0.073524648,0.119139867
58,0.232,0.075928344,0.098362406,0.07353075,0.119117203
59,0.236,0.075914664,0.098347484,0.073545969,0.11910278906249999
60,0.24,0.075942758,0.098369648,0.073550359,0.11913142187499999
61,0.244,0.075944234,0.098371992,0.073525719,0.11913101562499999
62,0.248,0.075953586,0.098378867,0.073517773,0.11914204687499999
63,0.252,0.075928945,0.098362406,0.073526656,0.119120492
64,0.256,0.075913891,0.098350102,0.073543961,0.119106641
65,0.26,0.075941281,0.098371727,0.073546711,0.119134172
66,0.264,0.075943195,0.098373305,0.073519383,0.119132391
67,0.268,0.075952648,0.098381313,0.073511406,0.119143188
68,0.272,0.075928375,0.098364687,0.073521328,0.119121695
69,0.276,0.075914062,0.098351539,0.073539734,0.11910731249999999
70,0.28,0.075943258,0.098373336,0.073542688,0.119135344
71,0.284,0.075943766,0.098374875,0.073516937,0.11913644531249999
72,0.288,0.075951344,0.098382219,0.073509156,0.119147211
73,0.292,0.075927875,0.098365891,0.073517367,0.119125891
74,0.296,0.075913422,0.098352578,0.073534266,0.119112313
75,0.3,0.075941648,0.098374242,0.073538328,0.119140406
76,0.304,0.075942828,0.098375781,0.07351325,0.119138461
77,0.308,0.075950133,0.098382891,0.073505266,0.119147781
78,0.312,0.075926898,0.098366195,0.07351368,0.11912421093749999
79,0.316,0.075914094,0.098352719,0.073529977,0.119109055
80,0.32,0.075942961,0.098374914,0.07353343,0.119136586
81,0.324,0.075944234,0.098377094,0.073508992,0.11913644531249999
82,0.328,0.075951539,0.098383727,0.073501609,0.119147547
83,0.332,0.075927602,0.098367297,0.073510836,0.119126086
84,0.336,0.075913289,0.098354359,0.073528805,0.11911264062499999
85,0.34,0.075942625,0.098375852,0.07353182,0.11914114062499999
86,0.344,0.075945273,0.098378367,0.073505734,0.119139336
87,0.348,0.075952148,0.098385875,0.073498359,0.11914889062499999
88,0.352,0.075927672,0.09836968,0.073507414,0.11912693
89,0.356,0.075914727,0.098356102,0.073525047,0.11911354687499999
90,0.36,0.075944102,0.098377961,0.07352907,0.119142148
91,0.364,0.075944164,0.098379367,0.073503695,0.11914292187499999
92,0.368,0.075951711,0.098385742,0.073496484,0.119155625
93,0.372,0.075927266,0.098368906,0.073506773,0.119135477
94,0.376,0.07591218,0.098355836,0.073523406,0.11911925
95,0.38,0.075941086,0.098377656,0.07352532,0.119144094
96,0.384,0.075943969,0.098380242,0.073498391,0.119142484
97,0.388,0.075953555,0.098388391,0.073489945,0.11915357812499999
98,0.392,0.075928945,0.098372063,0.073499734,0.119132523
99,0.396,0.075914531,0.098357641,0.073518141,0.11911643
100,0.4,0.075943328,0.098377898,0.073521328,0.119143055
101,0.404,0.075945437,0.098379742,0.073495813,0.119141945
102,0.408,0.075952383,0.098386742,0.073488672,0.119153383
103,0.412,0.075928781,0.098370719,0.073498359,0.119132492
104,0.416,0.075915195,0.098358047,0.073516328,0.11912005468749999
105,0.42,0.075943594,0.098379773,0.073519586,0.119149656
106,0.424,0.075944133,0.098381547,0.073493164,0.11914959374999999
107,0.428,0.075952211,0.098388922,0.073485422,0.119160086
108,0.432,0.075928641,0.098372195,0.073494469,0.119137453
109,0.436,0.075915531,0.098358719,0.073511875,0.11912199999999999
110,0.44,0.075945711,0.098380508,0.073514922,0.11914868749999999
111,0.444,0.075947516,0.098381484,0.073489578,0.11914794531249999
112,0.448,0.075954359,0.098388117,0.07348257,0.119159211
113,0.452,0.075928242,0.09837075,0.073491484,0.11913856249999999
